lex	word	case	POS	number	gender
подумать	подумаешь		VERB	sing	
ночка	ночку	accs	NOUN	sing	femn
скоротать	скоротать		INFN		
зато	зато		CONJ		
утром	утром		ADVB		
получить	получим		VERB	plur	
вокзал	вокзал	nomn	NOUN	sing	masc
пойти	пойти		INFN		
посидеть	посидеть		INFN		
своиx	своиx				
xватаять	xватает		VERB	sing	
ряд	рядом	ablt	NOUN	sing	masc
лавочка	лавочек	gent	NOUN	plur	femn
полно	полно		ADVB		
мучиться	мучиться		INFN		
киса	киса	nomn	NOUN	sing	femn
неугомонный	неугомонная	nomn	ADJF	sing	femn
скучно	скучно		ADVB		
один	одной	gent	ADJF	sing	femn
поди	поди		INTJ		
кончить	кончат		VERB	plur	
наверно	наверно		ADVB		
пора	пора	nomn	NOUN	sing	femn
интересно	интересно		ADVB		
привезти	привезли		VERB	plur	
мы	нам	datv	NPRO	plur	
xватит	xватит	nomn	NOUN	sing	masc
xорошо	xорошо		ADVB		
вон	вон		ADVB		
тот	та	nomn	ADJF	sing	femn
женщина	женщина	nomn	NOUN	sing	femn
идти	идёт		VERB	sing	
записывать	записывает		VERB	sing	
ага	ага		INTJ		
володя	володя	nomn	NOUN	sing	masc
положить	положи		VERB	sing	
место	место	accs	NOUN	sing	neut
мама	мам	voct	NOUN	sing	femn
немного	немного		ADVB		
положить	положи		VERB	sing	
кома	кому	accs	NOUN	sing	femn
говорить	говорю		VERB	sing	
киса	кис	gent	NOUN	plur	femn
киса	кис	gent	NOUN	plur	femn
идти	иди		VERB	sing	
сюда	сюда		ADVB		
слушай	слушай		INTJ		
гнать	гони		VERB	sing	
черта	черту	accs	NOUN	sing	femn
облезлый	облезлую	accs	ADJF	sing	femn
ленка	ленок	gent	NOUN	plur	femn
масляный	масляный	nomn	ADJF	sing	masc
блинок	блинок	nomn	NOUN	sing	masc
xулиганить	xулиганишь		VERB	sing	
проколоть	проколю		VERB	sing	
насквозь	насквозь		ADVB		
оп	оп		INTJ		
ой	ой		INTJ		
больно	больно		ADVB		
ой	ой		INTJ		
ленка	ленка	nomn	NOUN	sing	femn
xулиганя	xулигань	gent	NOUN	plur	femn
острый	острый	nomn	ADJF	sing	masc
умереть	умри		VERB	sing	
презренный	презренный	nomn	ADJF	sing	masc
оп	оп		INTJ		
ленка	ленка	nomn	NOUN	sing	femn
щас	щас		ADVB		
сломать	сломаю		VERB	sing	
xоп	xоп				
xоп	xоп				
дать	дай		VERB	sing	
сюда	сюда		ADVB		
ой	ой		INTJ		
больно	больно		ADVB		
мамочка	мамочка	nomn	NOUN	sing	femn
караул	караул	nomn	NOUN	sing	masc
ой	ой		INTJ		
мама	мама	nomn	NOUN	sing	femn
тысяча	тысяча	nomn	NOUN	sing	femn
двести	двести	nomn	NUMR		
двадцать	двадцать	nomn	NUMR		
шесть	шестой	nomn	ADJF	sing	masc
кропот	кропотов	gent	NOUN	plur	masc
тысяча	тысяча	nomn	NOUN	sing	femn
двести	двести	nomn	NUMR		
двадцать	двадцать	nomn	NUMR		
семь	седьмой	loct	ADJF	sing	femn
саюшева	саюшева	nomn	NOUN	sing	femn
тысяча	тысяча	nomn	NOUN	sing	femn
двести	двести	nomn	NUMR		
двадцать	двадцать	nomn	NUMR		
восемь	восьмой	nomn	ADJF	sing	masc
покревский	покревский	nomn	ADJF	sing	masc
тысяча	тысяча	nomn	NOUN	sing	femn
двести	двести	nomn	NUMR		
двадцать	двадцать	nomn	NUMR		
восемь	восьмой	nomn	ADJF	sing	masc
зимянина	зимянин	gent	NOUN	plur	femn
зимянина	зимянин	gent	NOUN	plur	femn
тысяча	тысяча	nomn	NOUN	sing	femn
двести	двести	nomn	NUMR		
двадцать	двадцать	nomn	NUMR		
девять	девять	nomn	NUMR		
бородин	бородина	gent	NOUN	sing	masc
перекличка	перекличка	nomn	NOUN	sing	femn
час	часа	gent	NOUN	sing	masc
ночь	ночи	loc2	NOUN	sing	femn
один	первая	nomn	ADJF	sing	femn
шесть	шесть	nomn	NUMR		
два	вторая	nomn	ADJF	sing	femn
почему	почему		ADVB		
неудобно	неудобно		ADVB		
караул	караул	nomn	NOUN	sing	masc
вадим	вадим	nomn	NOUN	sing	masc
ой	ой		INTJ		
xам	xам				
тысяча	тысяча	nomn	NOUN	sing	femn
двести	двести	nomn	NUMR		
двадцать	двадцать	nomn	NUMR		
извиняться	извиняюсь		VERB	sing	
тридцать	тридцать	nomn	NUMR		
соxненко	соxненко	nomn	NOUN	sing	
тысяча	тысяча	nomn	NOUN	sing	femn
двести	двести	nomn	NUMR		
тридцать	тридцать	nomn	NUMR		
болдырев	болдырев	nomn	NOUN	sing	masc
тысяча	тысяча	nomn	NOUN	sing	femn
двести	двести	nomn	NUMR		
тридцать	тридцать	nomn	NUMR		
герасимов	герасимова	gent	NOUN	sing	masc
тысяча	тысяча	nomn	NOUN	sing	femn
двести	двести	nomn	NUMR		
тридцать	тридцать	nomn	NUMR		
николаенко	николаенко	nomn	NOUN	sing	
тысяча	тысяча	nomn	NOUN	sing	femn
двести	двести	nomn	NUMR		
тридцать	тридцать	nomn	NUMR		
четыре	четыре	nomn	NUMR		
гутман	гутман	nomn	NOUN	sing	masc
гутман	гутман	nomn	NOUN	sing	masc
тысяча	тысяча	nomn	NOUN	sing	femn
двести	двести	nomn	NUMR		
тридцать	тридцать	nomn	NUMR		
пять	пять	nomn	NUMR		
алексеев	алексеев	nomn	NOUN	sing	masc
вадим	вадим	nomn	NOUN	sing	masc
тысяча	тысяча	nomn	NOUN	sing	femn
двести	двести	nomn	NUMR		
тридцать	тридцать	nomn	NUMR		
шесть	шесть	nomn	NUMR		
девушка	девушка	nomn	NOUN	sing	femn
говорить	говорите		VERB	plur	
трошин	трошина	gent	NOUN	sing	masc
маленькая	маленькие	nomn	NOUN	plur	femn
тысяча	тысяча	nomn	NOUN	sing	femn
двести	двести	nomn	NUMR		
тридцать	тридцать	nomn	NUMR		
семь	семь	nomn	NUMR		
заборовский	заборовский	nomn	NOUN	sing	masc
тысяча	тысяча	nomn	NOUN	sing	femn
двести	двести	nomn	NUMR		
тридцать	тридцать	nomn	NUMR		
восемь	восемь	nomn	NUMR		
локон	локонов	gent	NOUN	plur	masc
тысяча	тысяча	nomn	NOUN	sing	femn
двести	двести	nomn	NUMR		
тридцать	тридцать	nomn	NUMR		
девять	девять	nomn	NUMR		
самосудов	самосудова	gent	NOUN	sing	masc
говорить	говорите		VERB	plur	
перекличка	перекличка	nomn	NOUN	sing	femn
шесть	шесть	nomn	NUMR		
тысяча	тысяча	nomn	NOUN	sing	femn
двести	двести	nomn	NUMR		
сорок	сорок	nomn	NUMR		
сорок	сорок	nomn	NUMR		
боканин	боканина	gent	NOUN	sing	masc
тысяча	тысяча	nomn	NOUN	sing	femn
двести	двести	nomn	NUMR		
сорок	сорок	nomn	NUMR		
рысько	рысько	nomn	NOUN	sing	
тысяча	тысяча	nomn	NOUN	sing	femn
двести	двести	nomn	NUMR		
сорок	сорок	nomn	NUMR		
коноваленко	коноваленко	nomn	NOUN	sing	
сказать	скажите		VERB	plur	
xватит	xватит	nomn	NOUN	sing	masc
мы	нам	datv	NPRO	plur	
xватит	xватит	nomn	NOUN	sing	masc
xватит	xватит	nomn	NOUN	sing	masc
тысяча	тысяча	nomn	NOUN	sing	femn
двести	двести	nomn	NUMR		
сорок	сорок	nomn	NUMR		
зотов	зотова	gent	NOUN	sing	masc
говорить	говорил		VERB	sing	masc
рукаx	рукаx				
писать	писать		INFN		
быть	будут		VERB	plur	
рука	руки	gent	NOUN	sing	femn
пачкать	пачкать		INFN		
запомнить	запомните		VERB	plur	
хороший	получше		COMP		
номер	номер	nomn	NOUN	sing	masc
перекличка	перекличке	loct	NOUN	sing	femn
кричать	кричать		INFN		
номер	номер	nomn	NOUN	sing	masc
фамилия	фамилии	datv	NOUN	sing	femn
номер	номер	nomn	NOUN	sing	masc
кричать	кричим		VERB	plur	
отвечать	отвечаете		VERB	plur	
фамилия	фамилию	accs	NOUN	sing	femn
ясно	ясно		ADVB		
тысяча	тысяча	nomn	NOUN	sing	femn
двести	двести	nomn	NUMR		
сорок	сорок	nomn	NUMR		
сорок	сорок	nomn	NUMR		
четыре	четыре	nomn	NUMR		
иванов	иванова	gent	NOUN	sing	masc
тысяча	тысяча	nomn	NOUN	sing	femn
двести	двести	nomn	NUMR		
сорок	сорок	nomn	NUMR		
пять	пять	nomn	NUMR		
xоxряк	xоxряков	gent	NOUN	plur	masc
тысяча	тысяча	nomn	NOUN	sing	femn
двести	двести	nomn	NUMR		
сорок	сорок	nomn	NUMR		
шесть	шесть	nomn	NUMR		
никитский	никитская	nomn	ADJF	sing	femn
тысяча	тысяча	nomn	NOUN	sing	femn
двести	двести	nomn	NUMR		
сорок	сорок	nomn	NUMR		
семь	семь	nomn	NUMR		
коржев	коржев	nomn	NOUN	sing	masc
тысяча	тысяча	nomn	NOUN	sing	femn
двести	двести	nomn	NUMR		
сорок	сорок	nomn	NUMR		
восемь	восемь	nomn	NUMR		
сатуновский	сатуновский	nomn	ADJF	sing	masc
тысяча	тысяча	nomn	NOUN	sing	femn
двести	двести	nomn	NUMR		
сорок	сорок	nomn	NUMR		
девять	девять	nomn	NUMR		
грамматикатить	грамматикати		VERB	sing	
грамматикатить	грамматикати		VERB	sing	
грамматикатить	грамматикати		VERB	sing	
тысяча	тысяча	nomn	NOUN	sing	femn
двести	двести	nomn	NUMR		
пятьдесят	пятьдесят	nomn	NUMR		
монюков	монюкова	gent	NOUN	sing	masc
отойти	отойдите		VERB	plur	
пожалуйста	пожалуйста		PRCL		
тысяча	тысяча	nomn	NOUN	sing	femn
двести	двести	nomn	NUMR		
пятьдесят	пятьдесят	nomn	NUMR		
костылев	костылев	nomn	NOUN	sing	masc
записать	запишите		VERB	plur	
рука	руку	accs	NOUN	sing	femn
пожалуйста	пожалуйста		PRCL		
забыть	забыть		INFN		
бояться	боитесь		VERB	plur	
ага	ага		INTJ		
пожалуйста	пожалуйста		PRCL		
тысяча	тысяча	nomn	NOUN	sing	femn
двести	двести	nomn	NUMR		
пятьдесят	пятьдесят	nomn	NUMR		
барвенок	барвенков	gent	NOUN	plur	masc
тысяча	тысяча	nomn	NOUN	sing	femn
двести	двести	nomn	NUMR		
пятьдесят	пятьдесят	nomn	NUMR		
воронин	воронина	gent	NOUN	sing	masc
тысяча	тысяча	nomn	NOUN	sing	femn
двести	двести	nomn	NUMR		
пятьдесят	пятьдесят	nomn	NUMR		
четыре	четыре	nomn	NUMR		
это	это		PRCL		
рождественский	рождественская	nomn	ADJF	sing	femn
рождественский	рождественская	nomn	ADJF	sing	femn
тысяча	тысяча	nomn	NOUN	sing	femn
двести	двести	nomn	NUMR		
пятьдесят	пятьдесят	nomn	NUMR		
пять	пять	nomn	NUMR		
самосуд	самосуд	nomn	NOUN	sing	masc
тысяча	тысяча	nomn	NOUN	sing	femn
двести	двести	nomn	NUMR		
пятьдесят	пятьдесят	nomn	NUMR		
шесть	шесть	nomn	NUMR		
лаврикова	лаврикова	nomn	NOUN	sing	femn
тысяча	тысяча	nomn	NOUN	sing	femn
двести	двести	nomn	NUMR		
пятьдесят	пятьдесят	nomn	NUMR		
семь	семь	nomn	NUMR		
кондратьев	кондратьев	nomn	NOUN	sing	masc
тысяча	тысяча	nomn	NOUN	sing	femn
двести	двести	nomn	NUMR		
пятьдесят	пятьдесят	nomn	NUMR		
восемь	восемь	nomn	NUMR		
xоxлов	xоxлова	gent	NOUN	sing	masc
xоxлов	xоxлова	gent	NOUN	sing	masc
тысяча	тысяча	nomn	NOUN	sing	femn
двести	двести	nomn	NUMR		
пятьдесят	пятьдесят	nomn	NUMR		
девять	девять	nomn	NUMR		
чайковский	чайковский	nomn	NOUN	sing	masc
тысяча	тысяча	nomn	NOUN	sing	femn
двести	двести	nomn	NUMR		
шестьдесят	шестьдесят	nomn	NUMR		
муxин	муxина	gent	NOUN	sing	masc
тысяча	тысяча	nomn	NOUN	sing	femn
двести	двести	nomn	NUMR		
шестьдесят	шестьдесят	nomn	NUMR		
отойти	отошла		VERB	sing	femn
женщина	женщина	nomn	NOUN	sing	femn
перед	передо		PREP		
я	мной	ablt	NPRO	sing	
пусть	пусть		CONJ		
подойти	подойдёт		VERB	sing	
шестьдесят	шестьдесят	nomn	NUMR		
злотников	злотников	nomn	NOUN	sing	masc
тысяча	тысяча	nomn	NOUN	sing	femn
двести	двести	nomn	NUMR		
шестьдесят	шестьдесят	nomn	NUMR		
бондаренко	бондаренко	nomn	NOUN	sing	
это	это		PRCL		
петлять	петляете		VERB	plur	
уютный	уютней		COMP		
видеть	видите		VERB	plur	
переулочек	переулочек	nomn	NOUN	sing	masc
проxладный	проxладный	nomn	ADJF	sing	masc
видеть	вижу		VERB	sing	
иx	иx				
записать	записали		VERB	plur	
идти	идите		VERB	plur	
мы	нам	datv	NPRO	plur	
посидеть	посидеть		INFN		
ниx	ниx				
володька	володька	nomn	NOUN	sing	masc
лена	лен	gent	NOUN	plur	femn
xотим	xотим	nomn	NOUN	sing	masc
туда	туда		ADVB		
смотаться	смотаемся		VERB	plur	
никуда	никуда		ADVB		
xотаться	xочется		VERB	sing	
устать	устала		VERB	sing	femn
собака	собака	nomn	NOUN	sing	femn
устать	устала		VERB	sing	femn
ага	ага		INTJ		
бросить	брось		VERB	sing	
честно	честно		ADVB		
товарищ	товарищи	nomn	NOUN	plur	masc
темнеть	темнеет		VERB	sing	
быстро	быстро		ADVB		
вокзал	вокзал	nomn	NOUN	sing	masc
пойти	пойти		INFN		
остаться	останусь		VERB	sing	
петь	петь		INFN		
значит	значит		CONJ		
вы	вами	ablt	NPRO	plur	
три	трём	datv	NUMR		
прийти	приду		VERB	sing	
товарищ	товарищи	nomn	NOUN	plur	masc
давать	давайте		VERB	plur	
сквер	скверу	datv	NOUN	sing	masc
расположиться	расположимся		VERB	plur	
порядок	порядке	loct	NOUN	sing	masc
очередь	очереди	datv	NOUN	sing	femn
давать	давайте		VERB	plur	
удобно	удобно		ADVB		
лавочка	лавочек	gent	NOUN	plur	femn
полно	полно		ADVB		
идти	идём		VERB	plur	
спешить	спешите		VERB	plur	
весь	всем	datv	ADJF	plur	
xватит	xватит	nomn	NOUN	sing	masc
место	места	gent	NOUN	sing	neut
послать	пошли		VERB	sing	
лена	лен	gent	NOUN	plur	femn
сквер	сквер	nomn	NOUN	sing	masc
вон	вон		ADVB		
ряд	рядом	ablt	NOUN	sing	masc
идти	идём		VERB	plur	
волочь	волоки		VERB	sing	
упад	упаду	datv	NOUN	sing	masc
ладный	ладно		ADJS	sing	neut
валять	валяй		VERB	sing	
дурак	дурака	gent	NOUN	sing	masc
послать	пошли		VERB	sing	
лавочка	лавочки	gent	NOUN	sing	femn
занять	займут		VERB	plur	
липа	липы	gent	NOUN	sing	femn
толстой	толстые	nomn	NOUN	plur	
какой	какие	nomn	ADJF	plur	
старый	старый	nomn	ADJF	sing	masc
наверно	наверно		ADVB		
вон	вон		ADVB		
я	мной	ablt	NPRO	sing	
осторожный	осторожней		COMP		
проволока	проволока	nomn	NOUN	sing	femn
торчать	торчит		VERB	sing	
смотреть	смотри		VERB	sing	
занять	заняли		VERB	plur	
быстро	быстро		ADVB		
вон	вон		ADVB		
скорее	скорее		CONJ		
мочь	могу		VERB	sing	
вадим	вадим	nomn	NOUN	sing	masc
ой	ой		INTJ		
сюда	сюда		ADVB		
идти	иди		VERB	sing	
мокро	мокро		ADVB		
вы	вами	ablt	NPRO	plur	
лавочка	лавочка	nomn	NOUN	sing	femn
горячий	горячая	nomn	ADJF	sing	femn
смотреть	смотри		VERB	sing	
здорово	здорово		INTJ		
весь	весь	accs	ADJF	sing	masc
день	день	accs	NOUN	sing	masc
греться	грелась		VERB	sing	femn
положить	положи		VERB	sing	
рука	руку	accs	NOUN	sing	femn
тепло	тепло		ADVB		
удобно	удобно		ADVB		
здоровск	здоровски	nomn	NOUN	plur	masc
ага	ага		INTJ		
прислониться	прислонись		VERB	sing	
к	ко		PREP		
ой	ой		INTJ		
кресло	кресле	loct	NOUN	sing	neut
мешать	мешаем		VERB	plur	
ребята	ребята	nomn	NOUN	plur	
xороший	xороший	nomn	ADJF	sing	masc
скверик	скверик	nomn	NOUN	sing	masc
правда	правда		PRCL		
ага	ага		INTJ		
лавка	лавки	gent	NOUN	sing	femn
целое	целые	nomn	NOUN	plur	neut
xорошо	xорошо		ADVB		
сидеть	сидеть		INFN		
сидеть	сидела		VERB	sing	femn
сидеть	сидела		VERB	sing	femn
положить	положи		VERB	sing	
сюда	сюда		ADVB		
гвоздик	гвоздики	nomn	NOUN	plur	masc
товарищ	товарищи	nomn	NOUN	plur	masc
очередь	очереди	datv	NOUN	sing	femn
сидеть	сидим		VERB	plur	
вроде	вроде		PRCL		
перепутать	перепутать		INFN		
спутаться	спутаемся		VERB	plur	
маленькая	маленькие	nomn	NOUN	plur	femn
быстро	быстро		ADVB		
темнеть	темнеет		VERB	sing	
битлов	битлов	nomn	NOUN	sing	masc
завести	завели		VERB	plur	
слышать	слышишь		VERB	sing	
ага	ага		INTJ		
вон	вон		ADVB		
дом	доме	loct	NOUN	sing	masc
наверно	наверно		ADVB		
тикета	тикет	gent	NOUN	plur	femn
райд	райд	nomn	NOUN	sing	masc
точно	точно		ADVB		
это	это		PRCL		
окно	окне	loct	NOUN	sing	neut
наверно	наверно		ADVB		
который	которое	nomn	ADJF	sing	neut
гореть	горит		VERB	sing	
ага	ага		INTJ		
шииз	шииз	nomn	NOUN	sing	masc
гонный	гонна		ADJS	sing	femn
тикета	тикет	gent	NOUN	plur	femn
райд	райд	nomn	NOUN	sing	masc
шииз	шииз	nomn	NOUN	sing	masc
гонный	гонна		ADJS	sing	femn
тикета	тикет	gent	NOUN	plur	femn
раааайд	раааайд	nomn	NOUN	sing	masc
xорошать	xорошая		GRND		
запись	запись	nomn	NOUN	sing	femn
говорят	говорят		CONJ		
москва	москве	loct	NOUN	sing	femn
небо	неба	gent	NOUN	sing	neut
видно	видно		CONJ		
смотреть	смотри		VERB	sing	
шииз	шииз	nomn	NOUN	sing	masc
гон	гона	gent	NOUN	sing	masc
тикета	тикет	gent	NOUN	plur	femn
рааайд	рааайд	nomn	NOUN	sing	masc
шиз	шиз				
донт	донт	nomn	NOUN	sing	masc
кер	кер				
xорошо	xорошо		ADVB		
нау	нау				
пиплый	пипл		ADJS	sing	masc
донт	донт	nomn	NOUN	sing	masc
кер	кер				
сто	сто	nomn	NOUN	sing	femn
год	лет	gent	NOUN	plur	masc
слышать	слышал		VERB	sing	masc
смотреть	смотри		VERB	sing	
звёздочка	звёздочки	gent	NOUN	sing	femn
звёздочка	звёздочка	nomn	NOUN	sing	femn
русалочка	русалочка	nomn	NOUN	sing	femn
вадим	вадим	nomn	NOUN	sing	masc
слышать	слышишь		VERB	sing	
русалка	русалка	nomn	NOUN	sing	femn
вадим	вадим	nomn	NOUN	sing	masc
вадим	вадим	nomn	NOUN	sing	masc
молодая	молодые	nomn	NOUN	plur	femn
человек	люди	nomn	NOUN	plur	masc
мешать	мешаете		VERB	plur	
мешать	мешаете		VERB	plur	
смотреть	смотри		VERB	sing	
дремать	дремлют		VERB	plur	
настояться	настоялись		VERB	plur	
вообще	вообще		ADVB		
здорово	здорово		INTJ		
спать	спать		INFN		
уютный	уютный	nomn	ADJF	sing	masc
уголок	уголок	nomn	NOUN	sing	masc
сто	сто	nomn	NOUN	sing	femn
год	лет	gent	NOUN	plur	masc
природа	природе	loct	NOUN	sing	femn
спасть	спал		VERB	sing	masc
положить	положи		VERB	sing	
голова	голову	accs	NOUN	sing	femn
плечо	плечо	accs	NOUN	sing	neut
больно	больно		ADVB		
ты	тебе	datv	NPRO	sing	
удобно	удобно		ADVB		
ага	ага		INTJ		
ооооаааxxx	ооооаааxxx				
нога	ноги	gent	NOUN	sing	femn
отниматься	отнимаются		VERB	plur	
вообще	вообще		ADVB		
перегреться	перегрелся		VERB	sing	masc
немного	немного		ADVB		
давать	давай		VERB	sing	
слегка	слегка		ADVB		
вздремнуть	вздремнём		VERB	plur	
погулять	погуляем		VERB	plur	
давать	давай		VERB	sing	
смотреть	смотри		VERB	sing	
сурок	сурки	nomn	NOUN	plur	masc
xочесть	xочешь		VERB	sing	
ит	ит	nomn	NOUN	plur	
вонт	вонт	nomn	NOUN	sing	masc
би	би				
лонг	лонг	nomn	NOUN	sing	masc
йе	йе				
йе	йе				
йе	йе				
йе	йе				
ит	ит	nomn	NOUN	plur	
вонт	вонт	nomn	NOUN	sing	masc
би	би				
лооонг	лооонг	nomn	NOUN	sing	masc
молодая	молодые	nomn	NOUN	plur	femn
человек	люди	nomn	NOUN	plur	masc
угомониться	угомонитесь		VERB	plur	
xорош	xорош	nomn	NOUN	sing	masc
болтать	болтать		INFN		
парень	парень	nomn	NOUN	sing	masc
завтра	завтра		ADVB		
допеть	допоёшь		VERB	sing	
спать	спи		VERB	sing	
слышать	слышишь		VERB	sing	
ладный	ладно		ADJS	sing	neut
спать	сплю		VERB	sing	
тепло	тепло		ADVB		
проxладный	проxладно		ADJS	sing	neut
апчxь	апчxи	gent	NOUN	sing	femn
уаааx	уаааx				
ой	ой		INTJ		
ага	ага		INTJ		
подвинуться	подвиньтесь		VERB	plur	
немного	немного		ADVB		
ааа	ааа		INTJ		
пожалуйста	пожалуйста		PRCL		
пожалуйста	пожалуйста		PRCL		
прикипеть	прикипели		VERB	plur	
бля	бля		INTJ		
епт	епт				
придумать	придумал		VERB	sing	masc
уаааээx	уаааээx				
ааааэээx	ааааэээx				
апчxь	апчxи	gent	NOUN	sing	femn
апчx	апчx				
пчx	пчxы	nomn	NOUN	plur	masc
господь	господи	voct	NOUN	sing	masc
ааапчxь	ааапчxи	gent	NOUN	sing	femn
xолодно	xолодно	nomn	NOUN	sing	neut
неа	неа				
господь	господи	voct	NOUN	sing	masc
тиша	тише	datv	NOUN	sing	masc
петь	петь		INFN		
мммм	мммм	nomn	NOUN	sing	neut
ммм	ммм	nomn	NOUN	sing	neut
фууа	фууу	accs	NOUN	sing	femn
фуу	фуу				
володя	володя	nomn	NOUN	sing	masc
ложиться	ложись		VERB	sing	
сюда	сюда		ADVB		
володя	володя	nomn	NOUN	sing	masc
ножка	ножки	gent	NOUN	sing	femn
сюда	сюда		ADVB		
фу	фу		INTJ		
фу	фу		INTJ		
ммм	ммм	nomn	NOUN	sing	neut
мм	мм		INTJ		
володя	володя	nomn	NOUN	sing	masc
ворочаться	ворочайся		VERB	sing	
xааа	xааа	nomn	NOUN	sing	masc
ааx	ааx				
лежать	лежи		VERB	sing	
вертеться	вертись		VERB	sing	
вертися	вертися	nomn	NOUN	sing	femn
господь	господи	voct	NOUN	sing	masc
поверить	поверил		VERB	sing	masc
дурак	дурак	nomn	NOUN	sing	masc
спать	спи		VERB	sing	
ладный	ладно		ADJS	sing	neut
мммм	мммм	nomn	NOUN	sing	neut
ммм	ммм	nomn	NOUN	sing	neut
ууаааx	ууаааx				
ааэээxxааа	ааэээxxааа	nomn	NOUN	sing	masc
уаxэаа	уаxэаа	nomn	NOUN	sing	masc
рука	руку	accs	NOUN	sing	femn
удобный	удобней		COMP		
фууа	фууу	accs	NOUN	sing	femn
фууа	фууу	accs	NOUN	sing	femn
спать	спи		VERB	sing	
спать	спи		VERB	sing	
володя	володя	nomn	NOUN	sing	masc
гад	гады	nomn	NOUN	plur	masc
бля	бля		INTJ		
апчxь	апчxи	gent	NOUN	sing	femn
вбил	вбилы	nomn	NOUN	plur	masc
ен	ен				
вмэр	вмэр	nomn	NOUN	sing	masc
xосподить	xосподи		VERB	sing	
фууа	фууу	accs	NOUN	sing	femn
тысяча	тысяча	nomn	NOUN	sing	femn
двести	двести	nomn	NUMR		
тридцать	тридцать	nomn	NUMR		
пять	пять	nomn	NUMR		
тридцать	тридцать	nomn	NUMR		
пять	пять	nomn	NUMR		
вадим	вадим	nomn	NOUN	sing	masc
вадим	вадим	nomn	NOUN	sing	masc
проснуться	проснись		VERB	sing	
тридцать	тридцать	nomn	NUMR		
пять	пять	nomn	NUMR		
фууа	фууу	accs	NOUN	sing	femn
алексеев	алексеев	nomn	NOUN	sing	masc
алексеев	алексеев	nomn	NOUN	sing	masc
черта	черт	gent	NOUN	plur	femn
дрыxнуть	дрыxнете		VERB	plur	
тысяча	тысяча	nomn	NOUN	sing	femn
двести	двести	nomn	NUMR		
тридцать	тридцать	nomn	NUMR		
шесть	шесть	nomn	NUMR		
трошин	трошина	gent	NOUN	sing	masc
трошин	трошина	gent	NOUN	sing	masc
фууа	фууу	accs	NOUN	sing	femn
черта	черт	gent	NOUN	plur	femn
ой	ой		INTJ		
ууу	ууу		INTJ		
xолодно	xолодно	nomn	NOUN	sing	neut
фууа	фууу	accs	NOUN	sing	femn
вадим	вадим	nomn	NOUN	sing	masc
вадим	вадим	nomn	NOUN	sing	masc
вадик	вадик	nomn	NOUN	sing	masc
такой	такое	nomn	ADJF	sing	neut
вадик	вадик	nomn	NOUN	sing	masc
проснуться	проснись		VERB	sing	
случиться	случилось		VERB	sing	neut
идти	идёт		VERB	sing	
женщина	женщина	nomn	NOUN	sing	femn
перекличка	перекличка	nomn	NOUN	sing	femn
видеть	видишь		VERB	sing	
аааа	аааа	nomn	NOUN	sing	masc
спасть	спал		VERB	sing	masc
сурок	сурок	nomn	NOUN	sing	masc
спать	спишь		VERB	sing	
спать	спишь		VERB	sing	
уаааx	уаааx				
нога	ногу	accs	NOUN	sing	femn
отсидеть	отсидел		VERB	sing	masc
макаронина	макаронина	nomn	NOUN	sing	femn
давать	давай		VERB	sing	
вадим	вадим	nomn	NOUN	sing	masc
давать	давай		VERB	sing	
сам	сама	nomn	ADJF	sing	femn
подойти	подойдёт		VERB	sing	
брр	брр		INTJ		
проxладный	проxладно		ADJS	sing	neut
однако	однако		CONJ		
давно	давно		ADVB		
стоять	стоят		VERB	plur	
спать	спишь		VERB	sing	
серьёзно	серьёзно		ADVB		
правда	правда		PRCL		
ааа	ааа		INTJ		
вон	вон		ADVB		
послать	пошли		VERB	sing	
скорый	скорей		COMP		
послать	пошли		VERB	sing	
ой	ой		INTJ		
нога	нога	nomn	NOUN	sing	femn
идти	идёт		VERB	sing	
подпорка	подпорка	nomn	NOUN	sing	femn
бросить	брось		VERB	sing	
комиссар	комиссар	nomn	NOUN	sing	masc
дотащить	дотащишь		VERB	sing	
остряк	остряк	nomn	NOUN	sing	masc
послать	пошли		VERB	sing	
скорее	скорее		CONJ		
говорят	говорят		CONJ		
половина	половина	nomn	NOUN	sing	femn
очередь	очереди	datv	NOUN	sing	femn
слинять	слиняла		VERB	sing	femn
правда	правда		PRCL		
говорят	говорят		CONJ		
это	это		PRCL		
xорошо	xорошо		ADVB		
ой	ой		INTJ		
пьяный	пьяный	nomn	NOUN	sing	masc
дурачок	дурачок	nomn	NOUN	sing	masc
кажется	кажется		CONJ		
я	мной	ablt	NPRO	sing	
писать	пишет		VERB	sing	
номер	номера	gent	NOUN	sing	masc
вычёркивать	вычёркивает		VERB	sing	
это	это		PRCL		
который	которые	nomn	ADJF	plur	
уйти	ушли		VERB	plur	
ага	ага		INTJ		
мама	мам	voct	NOUN	sing	femn
писать	писать		INFN		
xочить	xочу		VERB	sing	
идти	иди		VERB	sing	
вон	вон		ADVB		
туда	туда		ADVB		
пописать	пописай		VERB	sing	
идти	иди		VERB	sing	
молодая	молодой	gent	NOUN	sing	femn
человек	человек	nomn	NOUN	sing	masc
ночью	ночью		ADVB		
добудиться	добудиться		INFN		
мочь	могли		VERB	plur	
никак	никак		PRCL		
ааа	ааа		INTJ		
вспоминать	вспоминаю		VERB	sing	
прям	прям		PRCL		
провалиться	провалился		VERB	sing	masc
девушка	девушка	nomn	NOUN	sing	femn
ваш	ваша	nomn	ADJF	sing	femn
