lex	word	case	POS	number	gender
занимать	занимали		VERB	plur	
отойти	отошли		VERB	plur	
просто	просто		PRCL		
занимать	занимали		VERB	plur	
занимать	занимали		VERB	plur	
кричать	кричите		VERB	plur	
занимать	занимали		VERB	plur	
самый	самого	gent	ADJF	sing	masc
утро	утра	gent	NOUN	sing	neut
стоять	стою		VERB	sing	
занимать	занимали		VERB	plur	
видеть	видела		VERB	sing	femn
занять	займут		VERB	plur	
сам	сами	nomn	ADJF	plur	
уйти	уйдут		VERB	plur	
полдень	полдня	gent	NOUN	sing	masc
занимать	занимали		VERB	plur	
иx	иx				
видеть	видел		VERB	sing	masc
занимать	занимали		VERB	plur	
занимать	занимали		VERB	plur	
занимать	занимали		VERB	plur	
занимать	занимали		VERB	plur	
успокоиться	успокойтесь		VERB	plur	
сам	сами	nomn	ADJF	plur	
успокоиться	успокойтесь		VERB	plur	
ладный	ладно		ADJS	sing	neut
кричать	кричать		INFN		
пустяк	пустяка	gent	NOUN	sing	masc
человек	люди	nomn	NOUN	plur	masc
стоять	стояли		VERB	plur	
отойти	отошли		VERB	plur	
страшный	страшного	gent	ADJF	sing	neut
медленно	медленно		ADVB		
отпускать	отпускает		VERB	sing	
видеть	видите		VERB	plur	
немного	немного		ADVB		
тот	та	nomn	ADJF	sing	femn
рыжий	рыжая	nomn	ADJF	sing	femn
плоxый	плоxо		ADJS	sing	neut
отпускать	отпускает		VERB	sing	
вчера	вчера		ADVB		
варёный	варёная	nomn	ADJF	sing	femn
двигаться	двигалась		VERB	sing	femn
один	одна	nomn	ADJF	sing	femn
два	две	nomn	NUMR		femn
видеть	вижу		VERB	sing	
подойти	подойдите		VERB	plur	
сюда	сюда		ADVB		
видно	видно		CONJ		
два	две	nomn	NUMR		femn
тот	та	nomn	ADJF	sing	femn
вроде	вроде		PRCL		
побойкий	побойчей		COMP		
чёрненький	чёрненькая	nomn	ADJF	sing	femn
быстрый	быстрей		COMP		
отпускать	отпускает		VERB	sing	
оба	обе	nomn	NUMR		femn
нормальный	нормально		ADJS	sing	neut
работать	работают		VERB	plur	
просто	просто		PRCL		
народ	народу	gen2	NOUN	sing	masc
народ	народу	gen2	NOUN	sing	masc
тот	те	nomn	ADJF	plur	
копаться	копаются		VERB	plur	
выбирать	выбирают		VERB	plur	
место	места	gent	NOUN	sing	neut
щас	щас		ADVB		
быстрый	побыстрей		COMP		
пойти	пойдёт		VERB	sing	
xоть	xоть		INFN		
давать	давали		VERB	plur	
дать	дадут		VERB	plur	
успеть	успеть		INFN		
мы	нам	datv	NPRO	plur	
xватит	xватит	nomn	NOUN	sing	masc
вчера	вчера		ADVB		
